Country	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
DW_EXST,I15_A_AVG,HR	164.80 	143.93 	134.29 	123.73 	113.44 	106.45 	101.81 	100.00 	101.43 	102.74 	107.29 	110.08 	111.17 	117.31 	125.90 	: 	: 	: 
DW_EXST,I15_A_AVG,HU	251.01 p	205.76 	177.29 	170.60 	145.30 	127.02 	113.54 	100.00 	88.28 	84.74 	87.17 	90.79 	94.01 	95.84 	101.52 	99.17 	: 	: 
DW_EXST,I15_A_AVG,IE	167.58 	147.66 	134.40 	134.78 	132.40 	120.22 	107.45 	100.00 	90.16 	76.80 	74.85 	86.59 	104.57 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,IS	214.84 d	177.57 d	157.79 d	148.29 d	142.01 d	131.20 d	109.77 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,IT	105.10 	101.60 	99.40 	97.60 	98.00 	98.90 	100.10 	100.00 	104.70 	110.90 	121.40 	127.30 	126.80 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,LT	197.74 	167.17 	142.72 	132.50 	123.78 	115.58 	106.47 	100.00 	96.76 	90.57 	88.64 	90.28 	85.23 	89.09 	129.65 	123.19 	92.12 	: 
DW_EXST,I15_A_AVG,LU	192.44 	176.81 	153.82 	134.12 	120.98 	112.26 	106.21 	100.00 	96.20 	91.51 	88.57 	85.21 	81.30 	76.77 	79.62 	78.45 	: 	: 
DW_EXST,I15_A_AVG,LV	189.30 	165.80 	145.40 	141.83 	130.24 	118.17 	108.51 	100.00 	102.20 	97.06 	90.34 	89.69 	84.59 	96.43 	153.09 	152.21 	110.32 	: 
DW_EXST,I15_A_AVG,MT	142.36 p	134.44 	131.58 	123.51 	117.58 	112.58 	106.78 	100.00 	95.27 	92.51 	89.04 	86.01 	85.89 	89.06 	95.71 	: 	: 	: 
DW_EXST,I15_A_AVG,NL	185.64 	163.43 	141.88 	131.66 	123.17 	113.01 	105.05 	100.00 	97.25 	96.37 	103.14 	110.26 	113.01 	115.60 	119.68 	116.21 	111.51 	106.62 
DW_EXST,I15_A_AVG,NO	143.97 	136.71 	124.17 	118.77 	115.64 	114.35 	108.25 	100.00 	93.41 	90.97 	87.36 	81.70 	75.63 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,PL	176.72 	158.10 	144.68 	127.16 	115.17 	107.13 	102.55 	100.00 	99.35 	98.07 	101.86 	107.30 	107.74 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,PT	200.03 	175.63 	160.18 	146.85 	133.20 	119.98 	108.68 	100.00 	96.19 	92.20 	94.29 	102.30 	109.55 	108.68 	110.00 	: 	: 	: 
DW_EXST,I15_A_AVG,RO	144.85 	137.78 	131.20 	125.03 	120.48 	113.73 	106.00 	100.00 	96.72 	98.85 	98.65 	105.49 	122.36 	132.56 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,SE	138.57 	136.03 	121.16 	114.59 	112.37 	115.78 	108.54 	100.00 	87.02 	78.65 	73.91 	73.26 	71.92 	65.98 	64.39 	64.10 	56.36 	49.20 
DW_EXST,I15_A_AVG,SI	177.53 	153.75 	137.85 	131.56 	121.83 	111.89 	103.77 	100.00 	99.44 	106.84 	112.80 	119.46 	118.67 	116.25 	125.85 	120.13 	: 	: 
DW_EXST,I15_A_AVG,SK	180.25 	160.84 	149.63 	135.34 	121.92 	112.84 	106.95 	100.00 	93.97 	92.73 	91.38 	93.49 	94.24 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,TR	627.83 	241.48 	174.33 	140.15 	133.60 	124.80 	113.57 	100.00 	86.08 	75.74 	68.12 	62.43 	58.15 	: 	: 	: 	: 	: 
DW_EXST,I15_A_AVG,UK	: 	: 	: 	116.28 	115.12 	111.63 	106.81 	100.00 	94.34 	87.33 	85.17 	84.79 	86.30 	81.34 	89.17 	93.46 	84.86 	78.56 
DW_EXST,RCH_A_AVG,AT	10.3 	14.4 	8.0 	5.7 	5.3 	5.2 	9.4 	5.0 	3.2 	5.4 	7.5 	6.3 	: 	: 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,BE	5.7 	7.5 	4.2 	4.2 	2.7 	3.4 	2.3 	0.6 	-0.1 	0.3 	2.4 	4.1 	4.3 	-0.3 	5.1 	9.0 	11.6 	: 
DW_EXST,RCH_A_AVG,BG	15.6 b	9.2 	6.0 	4.8 	7.0 	9.7 	7.3 	2.3 b	0.5 	-1.8 	-2.7 	-6.1 	-10.1 	-21.4 	25.0 	28.9 	14.7 	: 
DW_EXST,RCH_A_AVG,CY	1.9 	0.6 	0.1 	1.0 	0.3 	1.4 	-0.6 	-1.6 b	0.7 	-4.4 	-4.5 	1.6 	: c	: c	: c	: c	: c	: 
DW_EXST,RCH_A_AVG,CZ	16.5 	20.0 	8.3 	9.3 	8.1 	11.4 	7.3 	4.0 	2.5 	-0.1 	-1.3 	0.3 	-1.6 	-4.8 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,DE	5.3 p	12.3 	8.0 	6.2 	6.7 	6.4 	7.6 	4.6 	3.0 	3.4 	3.5 	3.3 	0.8 	0.1 	1.1 	-2.8 	-0.3 	: 
DW_EXST,RCH_A_AVG,DK	-0.6 	11.8 	5.1 	2.4 	4.4 	4.6 	5.2 	6.9 	3.7 	3.5 	-2.9 	-1.9 	2.9 	-12.2 	-5.1 	2.3 	24.0 	: 
DW_EXST,RCH_A_AVG,EE	25.4 	17.1 	3.5 	6.7 	4.0 	5.9 	4.3 	4.9 	11.0 	11.4 	5.7 	8.5 	3.3 	-38.7 	-10.8 	13.3 	58.3 	: 
DW_EXST,RCH_A_AVG,ES	7.3 	3.6 	1.4 	4.8 	6.8 	6.2 	4.3 	3.4 	0.1 	-10.9 	-14.8 	-9.4 	-1.2 	-9.0 	-6.2 	8.2 	: 	: 
DW_EXST,RCH_A_AVG,FI	0.5 	4.3 	1.4 	0.1 	0.7 	0.6 	1.1 	-0.5 b	-0.9 	0.7 	1.2 	2.6 	8.6 	: c	: c	: c	: c	: 
DW_EXST,RCH_A_AVG,FR	6.5 p	6.6 	5.6 	3.3 	3.0 	3.0 	0.9 	-1.8 	-1.8 	-2.1 	-0.5 	5.9 	5.1 	-7.1 	0.8 	6.6 	12.0 	: 
DW_EXST,RCH_A_AVG,HR	14.5 	7.2 	8.5 	9.1 	6.6 	4.6 	1.8 	-1.4 	-1.3 	-4.2 	-2.5 	-1.0 	-5.2 	-6.8 	: 	: 	: 	: 
DW_EXST,RCH_A_AVG,HU	22.0 p	16.1 	3.9 	17.4 	14.4 	11.9 	13.5 	13.3 	4.2 	-2.8 	-4.0 	-3.4 	-1.9 	-5.6 	2.4 	: 	: 	: 
DW_EXST,RCH_A_AVG,IE	13.5 	9.9 	-0.3 	1.8 	10.1 	11.9 	7.4 	10.9 	17.4 	2.6 	-13.6 	-17.2 	: 	: 	: 	: 	: 	: 
